Predictor,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
LogHealthExpPC,0.9434539236765574,0.6475672754334089,0.14513837557075826,-0.3257546137396533,2.2126624610927683
HealthExpGDP,-0.0882391373583847,0.1961945025357126,0.6528882888700405,-0.4727732962931337,0.29629502157636434
Physicians,-0.39707562425411225,0.2669742459686223,0.13693082023368938,-0.9203355311523497,0.12618428264412518
UHCIndex,-0.05372724516924356,0.06904187266955576,0.4364608507015887,-0.1890468290267731,0.08159233868828601
OldAgeDependency,-0.07235066315493696,0.19840561371210222,0.7153649496322401,-0.46121852036122357,0.3165171940513497
OOPExpenditure,0.03201704829717929,0.017127663982171457,0.06157860383675549,-0.0015525562471806476,0.06558665284153922
