Predictor,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
LogHealthExpPC,2.0600733108262146,1.4099950489575228,0.144001711662144,-0.7034662035103203,4.8236128251627495
HealthExpGDP,-0.18496951032368064,0.36267608714995414,0.6100423714515044,-0.8958015791915006,0.5258625585441394
Physicians,1.6262760552060394,1.164467722271488,0.16253894586819895,-0.6560387416054676,3.9085908520175465
UHCIndex,0.4257967964478473,0.08043035017729537,1.1968145979201956e-07,0.2681562068364036,0.583437386059291
OldAgeDependency,0.5470399755224945,0.3753666205365478,0.14502020962367712,-0.18866508172765217,1.2827450327726413
OOPExpenditure,0.021032511483506138,0.028827966606681747,0.4656426324867151,-0.03546926481311344,0.07753428778012572
