Target,Selected_Model,N_Evaluations,Test_RMSE,Test_RMSE_SD,Test_MAE,Test_MAE_SD,Test_R2,Test_R2_SD,Pooled_Test_R2,Pooled_Test_RMSE,Pct_Evals_R2_Positive,RMSE_Improvement_vs_Dummy_Pct
LifeExpectancy,Extra Trees,8,2.304630095049349,0.6740785348279185,1.8633359219200267,0.5544733151535419,0.5576810963061944,0.2983417953298304,0.6390689128162651,2.389331289761521,87.5,40.04626219290965
NCDMortality,Extra Trees,8,5.14288554515017,1.4105861951158172,4.343726840304248,1.221463066732253,-0.1564637869201131,0.4728488595363886,0.10134183688760479,5.309454394533817,50.0,10.328007710157365
