Variable,N,Skewness,Excess_Kurtosis,Shapiro_W,Shapiro_P,Normal_at_Alpha_05
LifeExpectancy,384,-0.21891247340364436,-0.24580637630671553,0.9903013214029736,0.01236317395099497,No
NCDMortality,352,0.30089013349942084,-0.7071303741513995,0.9701742983626948,1.2394486777859496e-06,No
