Target,Feature,Importance_Mean,Importance_SD
LifeExpectancy,Diabetes,0.01508958003795798,0.023554791683792167
LifeExpectancy,GDPPerCapita,0.40612365770893005,0.2872737620140253
LifeExpectancy,GovHealthExpPC,0.5748606989995892,0.3672196843881687
LifeExpectancy,HealthExpGDP,0.10140065251644179,0.09078917316106974
LifeExpectancy,OOPExpenditure,0.09120581209170418,0.19490968762824784
LifeExpectancy,OldAgeDependency,0.1699873225005811,0.14452855365174674
LifeExpectancy,Physicians,0.13213839860219373,0.1889521054844244
LifeExpectancy,UHCIndex,0.09368390797741454,0.10056316257623386
LifeExpectancy,Unemployment,0.16891179777850146,0.08929102350182556
NCDMortality,AdultObesity,-0.0011081453025959254,0.2764491489125757
NCDMortality,Diabetes,0.12087333411826702,0.23837983233764232
NCDMortality,GovHealthExpPC,0.06979104576472683,0.34138648931897186
NCDMortality,HealthExpGDP,0.1483412627828,0.28106146988242997
NCDMortality,OOPExpenditure,0.05659862287654294,0.1459075318594287
NCDMortality,OldAgeDependency,0.11392094836638922,0.38372000338862616
NCDMortality,Physicians,0.04665239706049702,0.09147523787537606
NCDMortality,UHCIndex,-0.020806956548118743,0.11250588621528036
NCDMortality,UrbanPopulation,0.09765290543366331,0.49215420921789055
