Target,Model,N_Folds,CV_RMSE_Mean,CV_RMSE_SD,CV_MAE_Mean,CV_R2_Mean
LifeExpectancy,Extra Trees,4,2.297385866426848,0.49075308248634847,1.8152772141838371,0.4944391449168568
LifeExpectancy,Random Forest,4,2.3009448450192824,0.4347303530039809,1.789239220439716,0.5379190576223543
LifeExpectancy,Gradient Boosting,4,2.3285990066572184,0.3880489527971336,1.8105183605104653,0.5279265994508299
LifeExpectancy,Histogram Gradient Boosting,4,2.4394975620687562,0.2841392001817761,1.896059947412199,0.4684799312824482
LifeExpectancy,Elastic Net,4,2.6580247164800412,0.5414425099790537,2.166172247905074,0.3555081086780403
LifeExpectancy,Ridge Regression,4,2.7368607486773096,0.5344683678715885,2.2254269977483245,0.333910187593735
LifeExpectancy,Linear Regression,4,2.7482796478198614,0.53394181784748,2.234657908032915,0.3303821415542861
LifeExpectancy,Dummy Mean,4,3.939172579459457,0.9803834259912501,3.245943854713613,-0.22016983841163262
NCDMortality,Extra Trees,4,5.10126890228919,1.3340276438124876,4.308474843943675,-0.028908730548522943
NCDMortality,Random Forest,4,5.421249903082586,1.2737959914834858,4.587352831779963,-0.18363363206687763
NCDMortality,Elastic Net,4,5.639574128804189,1.5226354028449998,4.721877375405642,-0.29632355980130276
NCDMortality,Dummy Mean,4,5.647707597012122,1.2243490834291109,4.861423898071625,-0.2816611925128068
NCDMortality,Histogram Gradient Boosting,4,5.706219321188217,1.1251075951570677,4.779451690611134,-0.3527287810957399
NCDMortality,Ridge Regression,4,5.771614673397142,1.4511808246707507,4.835106372612542,-0.3814357614854419
NCDMortality,Linear Regression,4,5.8011896341881,1.4455791597755465,4.862468312471374,-0.4000735346589184
NCDMortality,Gradient Boosting,4,6.159115942179384,0.9909029233167977,5.123651864703647,-0.630615135311931
