Target,Selected_Model,N_Folds,Test_RMSE,Test_RMSE_SD,Test_MAE,Test_MAE_SD,Test_R2,Test_R2_SD,Pct_Folds_R2_Positive,RMSE_Improvement_vs_Dummy_Pct
LifeExpectancy,Extra Trees,4,2.325821978499295,0.5804380118870586,1.845178208281673,0.451844086417452,0.47423348821936107,0.46322540362076314,75.0,39.37381535406629
NCDMortality,Extra Trees,4,5.203365322382127,1.4560484139769876,4.404282321856434,1.304201661500864,-0.07539210496035453,0.3145435346405993,50.0,7.770678360715628
