Target,N,Interaction_Coefficient,Interaction_P_Value,CI_Lower,CI_Upper,Adjusted_R2
LifeExpectancy,233,-0.026464057918444566,0.41268042682318073,-0.08978131962309328,0.036853203786204144,0.9605139354542995
NCDMortality,222,-0.05178961392613615,0.538023576146152,-0.21662404244182293,0.11304481458955062,0.9310480545838239
