Target,Fold,Test_Countries,Best_Params,Test_RMSE,Test_MAE,Test_R2,RMSE_Improvement_vs_Dummy_Pct
LifeExpectancy,0,"JOR, MAR, OMN, TUR",{'model__max_depth': None},1.4788146149601367,1.2099983617710641,0.7480804230196059,51.13164299091427
LifeExpectancy,1,"ARE, EGY, KWT, LBY",{'model__max_depth': None},2.6457991655144437,2.2764790062456313,0.7175175556997968,46.899796110903836
LifeExpectancy,2,"DZA, IRN, IRQ, QAT",{'model__max_depth': 8},2.750640475508691,1.913710500287615,0.6491664332870963,43.31049389999105
LifeExpectancy,3,"BHR, LBN, SAU, TUN",{'model__max_depth': 8},2.4280336580139084,1.9805249648223817,-0.21783045912905474,16.15332841445599
NCDMortality,0,"JOR, MAR, OMN, TUR",{'model__max_depth': None},4.906537582791104,4.084517572415613,-0.40576217206067056,5.677937718404789
NCDMortality,1,"ARE, EGY, KWT, LBY",{'model__max_depth': None},6.891714515181776,5.942120757802363,0.19578843105782773,10.984198874141025
NCDMortality,2,"DZA, IRN, IRQ, QAT",{'model__max_depth': 8},5.615177453504755,4.768327597093682,-0.2828394674332424,-12.655060918103755
NCDMortality,3,"BHR, LBN, SAU, TUN",{'model__max_depth': 8},3.4000317380508744,2.822163360114079,0.1912447885946671,27.075637768420453
