"Data Source","World Development Indicators",

"Last Updated Date","2026-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","2.39504457","2.48436403","2.71770859","2.64634395","2.46225643","2.3202107","2.3254137","2.56602693","2.92857623","4.05000162","3.74433136","3.56666398","3.33596373","3.50222182","3.53405499","3.46609354","3.89580107","4.00854969","4.09854221","4.40291262","5.82477045","5.30494308","4.56536388","4.97095108",
"Bahrain","BHR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","3.20020556","3.3434751","3.52897096","3.72810912","3.35499287","3.12594414","2.98138189","3.16071057","3.07321215","4.15054226","3.92259479","3.7181015","3.95061135","4.14491081","4.2369051","4.75126362","4.62360859","4.30236721","3.94324946","3.78430986","4.55685711","4.32771444","3.89098358","3.99562383",
"Egypt, Arab Rep.","EGY","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","4.92244291","5.40030336","5.5107379","5.2242527","4.85732365","4.92229176","4.84190083","4.44493246","4.46634817","4.37870932","4.15319157","4.35707569","4.45891809","4.6710043","4.77415323","5.06153202","5.07462406","5.34661913","4.74892998","4.5994668","4.15384626","4.60955143","4.72362804","4.88449335",
"Iraq","IRQ","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","2.99693608","3.90128636","3.01704645","2.49370432","3.2148056","3.06604242","3.77203989","3.23955345","2.80316377","2.69365859","2.80868459","2.78786659","3.15587044","4.57253027","4.08944416","4.07600641","4.207232","5.72766161","5.14179993","4.33226347","5.53275251",
"Jordan","JOR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","9.34367943","9.57236385","9.2786417","8.78901005","8.74670506","8.49441624","7.67925692","7.90982628","8.48880577","9.22396946","8.17025661","8.14807701","7.81799555","7.16592407","7.20892906","7.4609561","6.97644138","7.10953665","6.98295021","7.07244635","7.54554749","7.69733906","7.73623276","7.66000605",
"Kuwait","KWT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","2.20362997","3.18719625","3.12441754","2.76042604","2.35702467","2.013309","1.8213098","1.92673647","1.92400301","2.70638776","2.67879915","2.33303547","2.33311439","2.48789287","2.9159987","4.21497965","4.73096323","4.65326786","5.17201853","5.18200397","6.11295223","5.37273169","4.20024538","4.96311998",
"Lebanon","LBN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","10.82951355","10.56254768","9.28233719","8.67109871","7.99923086","7.54867649","8.66057873","8.55984211","7.81751728","7.0073576","7.43864489","8.17744446","7.00420094","7.06742191","7.52191401","7.41596651","7.92344952","7.80357552","8.07031727","8.68533897","7.48221779","4.40006208","4.91255951","5.57497263",
"Morocco","MAR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","3.69304585","3.81601191","4.06117535","4.08037519","4.23211098","4.37350655","4.56586647","4.80759001","4.83789158","5.27312183","5.41861057","5.37019396","5.39619017","5.25540543","5.41626596","5.10435581","5.09203386","4.98920393","4.94516659","5.020401","5.78939486","5.45314503","5.75281","6.06396198",
"Oman","OMN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","2.68485427","2.70073724","2.77737164","2.77524447","2.59660101","2.26479053","2.01985121","2.11371112","1.75567567","2.4694581","2.47588587","2.23611403","2.27702832","2.5054009","3.13740134","4.07826233","4.17580843","3.95418668","3.21469474","3.80648994","5.11922932","4.34468651","3.06614041","3.49047446",
"Qatar","QAT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","1.97258496","2.3197093","2.46044064","3.50257182","3.18311739","2.56300044","2.288064","2.07008052","1.63775349","2.38356304","1.87017763","1.599962","1.74822152","2.07620168","2.42293572","3.63581347","3.54971433","3.21237087","2.96176219","3.18468714","3.81872201","2.8927927","2.18613315","2.52358818",
"Saudi Arabia","SAU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","4.2115941","4.46173573","4.2493763","3.97909737","3.58400965","3.4186728","3.61922002","3.56229162","2.97100711","4.29042768","3.64786148","3.68218255","3.98779845","4.42293596","5.15800905","5.8620224","6.24142838","6.03126049","5.34063101","5.46743011","6.64630127","5.93033648","5.31400585","5.68722248",
"Tunisia","TUN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","4.81271935","4.86132765","5.12036419","5.20888519","5.19890785","5.14555788","5.13109922","5.17542839","5.1644063","5.40595293","5.60950756","6.12299299","6.28984737","6.51394987","6.45006084","6.21339941","6.24778175","6.18557453","5.9375186","6.02461243","7.05612612","7.34183979","7.51270723","7.98537874",
