"Data Source","World Development Indicators",

"Last Updated Date","2026-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"United Arab Emirates","ARE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.616","1.759","1.761","1.838","1.762","1.494","1.407","1.541","1.845","1.792","1.749","1.786","1.801","2.045","2.232","2.361","2.458","2.502","2.605","2.71","2.83","2.786","2.915","2.992",
"Bahrain","BHR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.013","1.06","1.053","1.006","0.922","0.995","0.977","0.995","0.984","0.971","0.971","1.001","1.023","0.998","0.974","0.927","0.83","0.76","0.729","0.687","0.741","","","",
"Egypt, Arab Rep.","EGY","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","0.494","","","","","","","","","","","0.73","0.763","0.763","0.743","0.716","0.697","0.671","","","",
"Iraq","IRQ","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","0.543","","","0.658","0.66","","0.528","","","0.636","","","","0.823","0.718","0.707","0.8","0.676","0.881","0.923","0.983","1.022","",
"Jordan","JOR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.778","1.933","2.086","2.155","1.938","2.141","2.136","2.238","2.085","2.055","2.222","","","2.34","2.236","2.726","","2.222","","2.519","","","2.851","",
"Kuwait","KWT","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","1.9","1.5","1.8","1.46","1.879","1.884","1.91","2.47","2.484","2.475","2.547","2.67","2.647","2.106","2.106","2.03","2.087","2.273","","","",
"Lebanon","LBN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","2.614","","","","","2.475","2.309","","","2.298","2.675","","2.315","2.045","2.123","2.136","2.242","2.412","2.611","2.68","","","",
"Morocco","MAR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","0.483","","","0.534","","","0.586","","0.646","","","","0.631","0.913","","","0.734","","","","0.74","","",
"Oman","OMN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.428","1.47","1.513","1.576","1.61","1.7","1.821","1.91","1.978","2.072","2.126","2.057","1.989","2.001","2.162","2.13","1.964","2.013","2.104","2.091","2.003","2.006","1.992","",
"Qatar","QAT","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","2.217","","","","2.605","2.378","","3.231","3.232","4.048","","","","1.927","","2.751","","2.504","","","","","3.022",
"Saudi Arabia","SAU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.924","0.849","","","","","","","1.971","1.937","2.244","2.27","2.273","2.426","2.371","2.444","2.466","2.676","2.899","2.633","3.076","3.2","3.482","3.406",
"Tunisia","TUN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.762","0.787","0.799","0.813","1.311","0.919","","1.011","1.094","","1.207","","","","1.253","1.285","1.258","1.278","","1.299","1.315","1.315","","",
