"Data Source","World Development Indicators",

"Last Updated Date","2026-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","76.347","77.621","78.721","79.6","80.272","80.779","81.155","81.438","81.591","81.679","81.886","81.898","81.913","81.95","81.99","82.076","82.195","82.388","82.449","82.596","81.936","79.083","80.487","82.909",
"Bahrain","BHR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.673","74.942","75.209","75.486","75.787","76.125","76.51","76.952","77.457","78.016","78.593","79.141","79.622","79.998","80.214","80.338","80.407","80.407","80.412","80.471","78.683","78.083","80.992","81.284",
"Egypt, Arab Rep.","EGY","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","67.332","67.612","67.846","68.045","68.211","68.355","68.493","68.627","68.761","68.915","69.078","69.232","69.464","69.632","69.911","70.135","70.437","70.709","70.974","71.213","69.79","68.976","71.01","71.633",
"Iraq","IRQ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","64.86","65.292","65.724","64.834","64.634","64.899","64.029","64.428","66.465","67.834","68.092","68.435","68.827","69.047","69.679","69.977","68.683","69.788","71.116","71.245","69.651","70.704","72.037","72.324",
"Jordan","JOR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","71.926","72.141","72.359","72.585","72.788","72.977","73.225","73.407","73.563","73.707","73.797","73.929","74.087","74.282","74.606","75.06","75.55","76.071","76.491","76.865","75.583","74.204","77.088","77.814",
"Kuwait","KWT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","76.2258780487805","76.3843414634146","76.5316341463415","76.6445609756098","76.7276829268293","76.8007804878049","76.8876829268293","77.0101707317073","77.1890487804878","77.4333658536585","77.7262195121951","78.052243902439","78.3950243902439","78.7418048780488","79.0803414634146","79.3765609756098","79.6775853658537","79.9160731707317","80.1063658536585","81.969756097561","78.7609756097561","78.7365853658537","80.5878048780488","83.1878048780488",
"Lebanon","LBN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","73.895","74.354","74.836","75.275","75.693","76.074","75.677","76.732","76.956","77.262","77.529","77.768","77.941","78.037","78.148","78.275","78.306","78.192","78.263","78.208","76.299","73.65","78.003","77.817",
"Morocco","MAR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","66.794","67.2","67.582","67.958","68.272","68.748","69.157","69.62","70.051","70.454","70.821","71.263","71.674","72.117","72.522","72.894","73.228","73.608","73.946","74.245","73.133","73.385","75.161","75.313",
"Oman","OMN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","73.643","73.979","74.276","74.521","74.82","75.07","75.354","75.596","76.124","76.631","77.184","77.74","78.187","78.633","79.03","79.346","79.581","79.748","79.864","79.946","77.763","75.969","77.911","80.031",
"Qatar","QAT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","75.25","75.486","75.766","76.097","76.484","76.909","77.323","77.741","78.262","78.837","79.444","79.994","80.499","80.974","81.395","81.785","82.147","82.458","82.714","82.945","80.409","81.083","81.857","82.368",
"Saudi Arabia","SAU","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.607","72.951","73.296","73.657","74.027","74.4","74.762","75.066","75.301","75.447","75.616","75.808","76.09","76.517","77.116","77.776","78.354","78.721","78.75","78.313","77.596","77.089","77.31","78.732",
"Tunisia","TUN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.604","72.822","73.07","73.304","73.519","73.712","73.888","74.039","74.192","74.32","74.438","74.471","74.599","74.674","74.784","74.875","75.007","75.177","75.37","75.599","75.004","72.893","76.05","76.508",
