Predictor,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
LogHealthExpPC,2.06007331079351,1.409995048717508,0.14400171160026115,-0.7034662030726042,4.823612824659625
HealthExpGDP,-0.1849695103981841,0.36267608713100635,0.6100423712889194,-0.8958015792288672,0.525862558432499
Physicians,1.6262760552333282,1.1644677222772304,0.16253894586321993,-0.6560387415894333,3.90859085205609
UHCIndex,0.42579679644980417,0.08043035017796632,1.1968145980500581e-07,0.26815620683704544,0.5834373860625629
OldAgeDependency,0.547039975510267,0.37536662047114344,0.14502020956260564,-0.1886650816116896,1.2827450326322234
OOPExpenditure,0.021032511486635413,0.028827966609481486,0.465642632463668,-0.03546926481547155,0.07753428778874238
