Target,Feature,Importance_Mean,Importance_SD
LifeExpectancy,Diabetes,0.013872367433285793,0.025536718897548435
LifeExpectancy,GDPPerCapita,0.40470516139648516,0.28901326601198435
LifeExpectancy,GovHealthExpPC,0.5737667258689075,0.3691080746623637
LifeExpectancy,HealthExpGDP,0.10087111072181035,0.09038556884407556
LifeExpectancy,OOPExpenditure,0.09123382480294702,0.19482151124424718
LifeExpectancy,OldAgeDependency,0.17056830132533088,0.14408900807664313
LifeExpectancy,Physicians,0.132534057534863,0.18912909400931313
LifeExpectancy,UHCIndex,0.09419045224983466,0.10159704181383675
LifeExpectancy,Unemployment,0.16881466609949933,0.0893447323510862
NCDMortality,AdultObesity,-0.0011081453025959254,0.2764491489125757
NCDMortality,Diabetes,0.12087333411826702,0.23837983233764232
NCDMortality,GovHealthExpPC,0.06979104576472683,0.34138648931897186
NCDMortality,HealthExpGDP,0.1483412627828,0.28106146988242997
NCDMortality,OOPExpenditure,0.05659862287654294,0.1459075318594287
NCDMortality,OldAgeDependency,0.11392094836638922,0.38372000338862616
NCDMortality,Physicians,0.04665239706049702,0.09147523787537606
NCDMortality,UHCIndex,-0.020806956548118743,0.11250588621528036
NCDMortality,UrbanPopulation,0.09765290543366331,0.49215420921789055
