Target,Selected_Model,N_Evaluations,Test_RMSE,Test_RMSE_SD,Test_MAE,Test_MAE_SD,Test_R2,Test_R2_SD,Pooled_Test_R2,Pooled_Test_RMSE,Pct_Evals_R2_Positive,RMSE_Improvement_vs_Dummy_Pct
LifeExpectancy,Extra Trees,8,2.303364851612886,0.6730487524934294,1.8624943871681918,0.5547419950226212,0.558184612333034,0.29779279079335336,0.6395142568794595,2.3878567660089027,87.5,40.07534806569156
NCDMortality,Extra Trees,8,5.14288554515017,1.4105861951158172,4.343726840304248,1.221463066732253,-0.1564637869201131,0.4728488595363886,0.10134183688760479,5.309454394533817,50.0,10.328007710157365
