Target,Variable,OneWay_FE_Coef,OneWay_p,TwoWay_FE_Coef,TwoWay_p
LifeExpectancy,LogHealthExpPC,3.889753936868272,3.3906806193518133e-13,0.9434539233738514,0.14513837572975483
LifeExpectancy,HealthExpGDP,-0.29182015210684376,0.018188166487447113,-0.08823913723940056,0.6528882893168992
LifeExpectancy,Physicians,0.05366045931559175,0.8799583512450411,-0.3970756243839636,0.13693082021578085
LifeExpectancy,UHCIndex,0.03164404830485793,0.5855460579030555,-0.0537272451767683,0.4364608506342216
LifeExpectancy,OldAgeDependency,0.27295315984732177,0.0778581659729094,-0.07235066300269558,0.7153649501779513
LifeExpectancy,OOPExpenditure,0.01792080814260243,0.3519428083814986,0.03201704829861628,0.061578603825128905
NCDMortality,LogHealthExpPC,-6.1514034693264446,0.0002948874892209071,2.06007331079351,0.14400171160026115
NCDMortality,HealthExpGDP,0.33249064698667513,0.32796851082983336,-0.1849695103981841,0.6100423712889194
NCDMortality,Physicians,0.14939244165991306,0.9146483491427689,1.6262760552333282,0.16253894586321993
NCDMortality,UHCIndex,0.19935685088057759,0.1321340983639142,0.42579679644980417,1.1968145980500581e-07
NCDMortality,OldAgeDependency,-0.4086024461423938,0.11657458667567701,0.547039975510267,0.14502020956260564
NCDMortality,OOPExpenditure,0.06282270675262216,0.10753931525378566,0.021032511486635413,0.465642632463668
