Target,Term,Full_Model_N,Full_Coef,Full_p,NoPhysicians_N,NoPhys_Coef,NoPhys_p,Verdict_Changes
LifeExpectancy,LogHealthExpPC,233,0.9434539233738514,0.14513837572975483,381,1.5810383736333884,0.0051088270452463586,True
LifeExpectancy,HealthExpGDP,233,-0.08823913723940056,0.6528882893168992,381,-0.23533370861721553,0.23909271687205513,False
LifeExpectancy,UHCIndex,233,-0.0537272451767683,0.4364608506342216,381,0.014963244535308522,0.8393522493754743,False
LifeExpectancy,OldAgeDependency,233,-0.07235066300269558,0.7153649501779513,381,-0.09493281705915166,0.6656585676619066,False
LifeExpectancy,OOPExpenditure,233,0.03201704829861628,0.061578603825128905,381,0.01332964150641958,0.44507514476859755,False
NCDMortality,LogHealthExpPC,222,2.06007331079351,0.14400171160026115,349,0.22866072381859978,0.8594060804363347,False
NCDMortality,HealthExpGDP,222,-0.1849695103981841,0.6100423712889194,349,0.2601470134828271,0.5255093152049723,False
NCDMortality,UHCIndex,222,0.42579679644980417,1.1968145980500581e-07,349,0.29537962116923216,0.030708353257453695,False
NCDMortality,OldAgeDependency,222,0.547039975510267,0.14502020956260564,349,0.7306574002013795,0.13670917132851734,False
NCDMortality,OOPExpenditure,222,0.021032511486635413,0.465642632463668,349,0.029829636563062978,0.48111352716568734,False
