Target,Fold,Test_Countries,Best_Params,Test_RMSE,Test_MAE,Test_R2,RMSE_Improvement_vs_Dummy_Pct
LifeExpectancy,0,"JOR, MAR, OMN, TUR",{'model__max_depth': None},1.479433514024038,1.2107226797360446,0.7478695170489129,51.11119108316442
LifeExpectancy,1,"ARE, EGY, KWT, LBY",{'model__max_depth': None},2.645799165560604,2.2764790062913627,0.7175175557053803,46.89979611150721
LifeExpectancy,2,"DZA, IRN, IRQ, QAT",{'model__max_depth': 8},2.74893822216364,1.9129852394980567,0.64960053059987,43.345576602655726
LifeExpectancy,3,"BHR, LBN, SAU, TUN",{'model__max_depth': 8},2.4382673219043203,1.9874353355537835,-0.22811790450151004,15.799931889154607
NCDMortality,0,"JOR, MAR, OMN, TUR",{'model__max_depth': None},4.906537582791104,4.084517572415613,-0.40576217206067056,5.677937718404789
NCDMortality,1,"ARE, EGY, KWT, LBY",{'model__max_depth': None},6.891714515181776,5.942120757802363,0.19578843105782773,10.984198874141025
NCDMortality,2,"DZA, IRN, IRQ, QAT",{'model__max_depth': 8},5.615177453504755,4.768327597093682,-0.2828394674332424,-12.655060918103755
NCDMortality,3,"BHR, LBN, SAU, TUN",{'model__max_depth': 8},3.4000317380508744,2.822163360114079,0.1912447885946671,27.075637768420453
