Target,Variable,Within_Coef,Within_p,Between_Coef,Between_p,Within_eq_Between_p
LifeExpectancy,LogHealthExpPC,3.889753936868304,1.073807814550751e-13,3.9406763077403277,7.150195577641328e-10,0.9463043879484954
LifeExpectancy,HealthExpGDP,-0.2918201521068462,0.015882327107684065,0.4282215482415578,0.06369306283661,0.024526363234200318
LifeExpectancy,Physicians,0.053660459315522595,0.8774447651241946,-0.9706520244283271,0.05287820660400383,0.1289030059613538
LifeExpectancy,UHCIndex,0.03164404830485585,0.577657328219271,-0.02241198834391152,0.8247174430312417,0.6387535050230493
LifeExpectancy,OldAgeDependency,0.2729531598473221,0.07178752806443361,0.029037831680451463,0.8404356945765317,0.300604945720321
LifeExpectancy,OOPExpenditure,0.017920808142601028,0.341872491316049,-0.059275236276235925,0.07160483517883227,0.06898362501355479
NCDMortality,LogHealthExpPC,-6.151403469326419,0.00021534606051565382,-6.761000211194901,0.012977295319221729,0.8634780503681239
NCDMortality,HealthExpGDP,0.3324906469866968,0.3173194180761143,-0.8663238277507905,0.3512879097351641,0.2501859864521225
NCDMortality,Physicians,0.14939244165989765,0.9127565735619256,0.03462146627705609,0.9919985054684443,0.9800106936553692
NCDMortality,UHCIndex,0.19935685088058666,0.1237443280537966,0.0468496748981267,0.8818177856507532,0.6658233383933019
NCDMortality,OldAgeDependency,-0.4086024461423825,0.10866205841608012,-0.4549318617926062,0.2433446348352064,0.9331195875369822
NCDMortality,OOPExpenditure,0.06282270675262373,0.09993592516693678,-0.07224655186875487,0.616077639412981,0.34227521665843774
