Model,Term,Coefficient,p_Conventional,p_WildClusterBootstrap,Conclusion_Changes
RQ1 (LifeExpectancy),LogHealthExpPC,0.9434539233738514,0.14513837572975483,0.26626626626626626,False
RQ1 (LifeExpectancy),HealthExpGDP,-0.08823913723940056,0.6528882893168992,0.6626626626626627,False
RQ1 (LifeExpectancy),Physicians,-0.3970756243839636,0.13693082021578085,0.18518518518518517,False
RQ1 (LifeExpectancy),UHCIndex,-0.0537272451767683,0.4364608506342216,0.6596596596596597,False
RQ1 (LifeExpectancy),OldAgeDependency,-0.07235066300269558,0.7153649501779513,0.7567567567567568,False
RQ1 (LifeExpectancy),OOPExpenditure,0.03201704829861628,0.061578603825128905,0.33233233233233234,False
RQ3 (NCDMortality),LogHealthExpPC,2.06007331079351,0.14400171160026115,0.16916916916916916,False
RQ3 (NCDMortality),HealthExpGDP,-0.1849695103981841,0.6100423712889194,0.6006006006006006,False
RQ3 (NCDMortality),Physicians,1.6262760552333282,0.16253894586321993,0.2782782782782783,False
RQ3 (NCDMortality),UHCIndex,0.42579679644980417,1.1968145980500581e-07,0.011011011011011011,False
RQ3 (NCDMortality),OldAgeDependency,0.547039975510267,0.14502020956260564,0.15915915915915915,False
RQ3 (NCDMortality),OOPExpenditure,0.021032511486635413,0.465642632463668,0.4644644644644645,False
RQ4a (LifeExpectancy),Exp_UHC_Interaction,-0.02646405792495706,0.4126804266298515,0.5185185185185185,False
RQ4b (NCDMortality),Exp_UHC_Interaction,-0.051789613903467216,0.5380235763442771,0.5805805805805806,False
