Target,N,Interaction_Coefficient,Interaction_P_Value,CI_Lower,CI_Upper,Adjusted_R2
LifeExpectancy,233,-0.02646405792495706,0.4126804266298515,-0.08978131961899247,0.03685320376907835,0.9605139354438105
NCDMortality,222,-0.051789613903467216,0.5380235763442771,-0.21662404242734734,0.1130448146204129,0.9310480545849144
