Predictor,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
LogHealthExpPC,0.9434539233738514,0.6475672754816242,0.14513837572975483,-0.3257546141368596,2.2126624608845624
HealthExpGDP,-0.08823913723940056,0.19619450254147136,0.6528882893168992,-0.47277329618543656,0.2962950217066354
Physicians,-0.3970756243839636,0.26697424604375103,0.13693082021578085,-0.9203355314294507,0.12618428266152348
UHCIndex,-0.0537272451767683,0.06904187266908544,0.4364608506342216,-0.18904682903337605,0.08159233867983945
OldAgeDependency,-0.07235066300269558,0.19840561369232157,0.7153649501779513,-0.4612185201702128,0.3165171941648217
OOPExpenditure,0.03201704829861628,0.017127663982174027,0.061578603825128905,-0.0015525562457486958,0.06558665284298125
