Target,Feature_Set,N_Features,CV_RMSE_Mean,CV_R2_Mean,RMSE_Change_vs_Core_Pct
LifeExpectancy,Core-six only,5,2.6374283334958135,0.278083082455968,0.0
LifeExpectancy,Final selected set,9,2.2947678960731617,0.49541063234102484,12.992217952268229
NCDMortality,Core-six only,5,6.150308204576744,-0.4742376514987588,0.0
NCDMortality,Final selected set,9,5.10126890228919,-0.028908730548522943,17.056694841844063
