Target,Lag_Years,N,Coefficient,p_Value,Significant_.05
LifeExpectancy,0,233,0.9434539233738631,0.14513837572976443,False
LifeExpectancy,1,226,0.8270262782915161,0.1848468916482986,False
LifeExpectancy,2,215,0.4435459865798723,0.5376624121192661,False
LifeExpectancy,3,207,0.6791228574115227,0.27511882887472394,False
LifeExpectancy,4,199,0.7377115519298858,0.22610256656470495,False
LifeExpectancy,5,188,-0.10245676683932725,0.847290220093408,False
NCDMortality,0,222,2.0600733107935216,0.14400171160026623,False
NCDMortality,1,215,1.5421209986284872,0.054918630223278905,False
NCDMortality,2,204,2.6495965954545917,0.0008460793330725235,True
NCDMortality,3,196,1.8245831069681064,0.04670777783460423,True
NCDMortality,4,188,1.57062774913988,0.11388955306088848,False
NCDMortality,5,177,1.6644866134067446,0.1545918764407524,False
